id,context,text,response,intent
CD1,is there any disruption on the route?,[""],checkDisruptions
CD2,is there any disruption from DST to ORN,[""],checkDisruptions
CD3,are there delays on the route?,[""],checkDisruptions
CD4,Is the tube running on schedule right now?,[""],checkDisruptions
CD5,Are there any disruptions affecting the train service at the moment?,[""],checkDisruptions
CD6,Can you provide information on the current status of the line?,[""],checkDisruptions
CD7,Can you let me know if there are any delays I should be aware of?,[""],checkDisruptions
CD8,Is the train service operating smoothly, or are there interruptions?,[""],checkDisruptions
CD9,Are there any updates on the status of the subway route?,[""],checkDisruptions
CD10,Can you inform me of any disturbances or delays on the line?,[""],checkDisruptions
CD11,Is the tube experiencing any service disruptions currently?,[""],checkDisruptions
CD12,Can you check if there are any delays affecting my subway route?,[""],checkDisruptions
CD13,Are there any service interruptions affecting the train I plan to take?,[""],checkDisruptions
CD14,Can you provide information on the punctuality of the subway service now?,[""],checkDisruptions
CD15,Can you update me on the current operational status of the tube line?,[""],checkDisruptions
CD16,Are there any hitches or setbacks affecting subway services right now?,[""],checkDisruptions
CD17,Can you check if the subway is running according to its usual schedule?,[""],checkDisruptions
CD18,are there delays on the route?,[""],checkDisruptions
CD19,are there disruptions on the route?,[""],checkDisruptions
CD20,is it operating as normal?,[""],checkDisruptions
CD21,what is the current status of the line?,[""],checkDisruptions 
